Sponsor Name,Sponsor Level,Start Date,URL,Image location,Alt Text
Browser Stack,Selenium,2014-07-30,http://www.browserstack.com/automate/?utm_campaign=open-source-sponsor&utm_source=seleniumorg&utm_medium=referral,https://www.seleniumhq.org/sponsors/browserstack.png,
Sauce Labs,Selenium,2014-08-23,http://saucelabs.com/,/images/sponsors/saucelabs-logo.png,
Experitest,Selenium,2015-06-24,http://experitest.com/,/sponsors/experitest.jpg,
New Relic Synthetics,Selenium,2016-06-07,https://newrelic.com/synthetics?utm_campaign=brn+awr+seleniumorg+FY17Q1&utm_medium=REF&utm_source=seleniumhq.org&utm_content=synthetics-logo+&mpc=REF-seleniumhq.org-EN-generic--synthetics-logo,/sponsors/Synthetics_Website-Monitoring-Selenium.png,
CrossBrowserTesting,Selenium,2017-01-30,https://crossbrowsertesting.com/selenium-testing?utm_source=seleniumhq&utm_campaign=sshp,/sponsors/CBT-Logo.png,
Applitools,Selenium,2017-03-21,https://applitools.com/,/sponsors/applitools.png,
Ranorex,Selenium,2017-05-12,https://www.ranorex.com/selocity/browser-extension.html,/sponsors/Selocity_banner_Seleniumhq.png,
Subject 7,Selenium,2017-12-17,http://www.subject-7.com/,/sponsors/Subject7_logo.png,
Test Birds,Platinum-Level,2017-02-02,https://www.testbirds.com/services/quality-assurance/testing-environment/?utm_source=seleniumhq&utm_campaign=int-cloud-logo-sponsoring-seleniumhq&utm_medium=logo-sponsoring,/sponsors/testbirds.jpg,
Mumo Systems,Gold-Level,2016-03-14,http://www.mumosystems.com/portfolio-item/charlotte-bamboo-selenium-runner/,charlotte.png,
Mailosaur,Silver-Level,2017-10-15,https://mailosaur.com/,mailosaur-logo.png,
Gridlastic,Silver-Level,2017-02-14,https://www.gridlastic.com/?utm_source=seleniumhq&utm_campaign=seleniumhq-sponsorship&utm_medium=bannerad,https://www.gridlastic.com/images/gridlastic-selenium-grid-in-the-cloud.png,Selenium Grid in the cloud
Tricentis,Silver-Level,2015-03-15,http://www.tricentis.com/solutions/embrace-selenium?utm_medium=website&utm_source=selenium,/sponsors/tricentis_logo_468px_RGB.png,
Dev 9,Silver-Level,2016-10-21,http://www.dev9.com/,dev_9_logo_color_v2.png,
Xenon,Silver-Level,2016-10-21,http://xenon.jadeglobal.com/?utm_source=seleniumhq&utm_campaign=sele_sponsership&utm_medium=bannerad,xenon-banner-jadeglobal-2.png,
Perfecto Mobile,Silver-Level,2016-06-07,https://www.perfectomobile.com/integrations/selenium-webdriver?utm_source=SPNSelenium&utm_medium=WSPSeleniumWD,Perfecto.png,
Qytera,Silver-Level,2016-06-05,http://www.qytera.de/,qytera-testmanagement-testautomatisierung.png,
Ground Work,Silver-Level,2016-03-14,http://www.gwos.com/,GroundWork-Make-IT-Easier.jpg,
Cigniti,Silver-Level,2016-08-24,http://www.cigniti.com/,Cigniti-Logo.jpg,
Jetbrains,Silver-Level,2015-01-26,http://www.jetbrains.com/idea/,logo_JetBrains_1.png,Java IDE with advanced HTML/CSS/JavaScript editor for hardcore web-developers
Best casino.org,Bronze-Level,2017-10-11,https://www.bestcasino.org/,bestcasino-org-logo.png,
Top Rated Online Casino,Bronze-Level,2017-10-11,https://www.topratedonlinecasino.com/,top-rated-online-casino.png,
Katalon,Bronze-Level,2017-06-20,https://www.katalon.com/?utm_source=selenium&utm_campaign=bronze-sponsor,KatalonStudio.png,
hipper.com,Bronze-Level,2017-02-21,https://www.hipper.com/fr/france/fleurs,hipper-logo.png,
Top Online Forex Brokers,Bronze-Level,2017-02-20,http://www.toponlineforexbrokers.com/,top-online-forex-brokers.png,
Valsatech,Bronze-Level,2016-10-21,http://valsatechcorp.com/,Valsa-logo.png,
Best Binary Option Robots,Bronze-Level,2016-10-21,http://www.binaryoptionrobotinfo.com/,robot-info-logo2.jpg,
VST Consulting,Bronze-Level,2016-06-07,http://vstconsulting.com/,vst-consulting-logo.png,
Serenata Flowers,Bronze-Level,2016-04-28,http://www.serenataflowers.com/,serentaflowers.jpg,
Chameleon John,Bronze-Level,2016-01-31,http://www.chameleonjohn.com/,chameleonjohn.png,
Top Bargains,Bronze-Level,2016-08-09,https://www.topbargains.com.au/,TopBargains_Website_Logo.png,
